ClientId,LoanAmount0,LoanPeriod0,Good,PredictedGood0,OptimizedLoanAmount,OptimizedLoanPeriod,OptimizedPredictedGood
100079,10000,21,0,-403,9864.4832199,33.689721636,350.0000001423068
100080,1000,4,1,182,991.63931613,6.8404447919,350.000016200898
100081,47900,39,1,286,47825.274871,40.051829381,350.0046220173872
100082,2200,7,1,283,2194.7340255,8.1320123269,350.00205284966967
100083,2700,6,1,299,2691.7992349,6.85990427,350.00157487130105
100084,9000,20,1,238,8981.990322,21.888432107,350.0043417941904
100085,32300,34,0,-422,31754.355681,46.837643471,350.0069009623537
100088,2000,6,0,211,1987.7140658,8.3478542165,350.00000008483516
100090,1500,5,1,243,1492.3361881,6.8081012968,350.0000001660003
100091,2250,5,1,340,2248.3911362,5.1687005564,350.0057578947558
100092,1000,4,0,-460,959.68918038,17.695000192,349.99999999684314
100101,6060,14,1,178,6034.4025887,16.90087613,350.00139168519786
100104,10000,21,1,305,9991.9009449,21.758391362,350.002460420905
